id,gender,category,rating
cj6nb1zavkhni01834d1phmbg,mujer,vestidos,4
cj6nb1zaylhog01349myytxwl,mujer,vestidos,3
cj6nb1zazl8gq0182jw0g9kme,mujer,vestidos,2
cj6nb1zcxkuug0126y5z75nie,mujer,monos,5
cj6nb1zdnkhnk01831ika3rqv,mujer,vestidos,4
cj6nb1zdqlhoi0134nnummazn,mujer,camisas_blusas,4
cj6nb20kikuup0126otxs56w1,mujer,pantalones_largos,5
cj6nb20kml9p10173dbrcrorq,mujer,monos,4
cj6nb20kxkr6k019497j55d2p,mujer,vestidos,4
cj6nb20kykdq20145b47ffi6a,mujer,pantalones_largos,1
cj6nb20kzl5800171tl78yhlt,mujer,vestidos,4
cj6nb20kzlhpp01347zp41z36,mujer,pantalones_largos,4
cj6nb20l0jv3b01858xpcs9ih,mujer,camisas_blusas,5
cj6nb20l8l8gy01821g58hjav,mujer,vestidos,2
cj6nb20lbkmlm0120xvtdhgwd,mujer,vestidos,0
cj6nb20nokuut0126s6flflym,mujer,camisetas_tops_bodies,4
cj6nb20o1kdq50145f2xstpv8,mujer,camisetas_tops_bodies,2
cj6nb20o8jv3e0185mvx74jhh,mujer,pantalones_largos,4
cj6nb20odkmm40120f8hptz1j,mujer,camisetas_tops_bodies,1
